0,1,2,3,4,5,6,7
-5358.9201401376895,-6748.684555135317,-6915.830900172103,-6239.981203076984,-28400.19356014652,-39697.99455380375,-50821.54134768741,-110824.97815191487
-5341.910462607201,-6752.976090070735,-6912.634600714994,-6250.978261348994,-28401.177036902554,-39700.22972824928,-50812.086559782816,-110828.17445137198
-5328.2758984894635,-6768.521728339401,-6912.209917570343,-6263.562293477332,-28404.172170659564,-39700.967335816305,-50804.08463526781,-110831.81778571819
-5332.2098055135975,-6777.373019143703,-6912.276972803709,-6275.654587227654,-28407.39082186113,-39702.28608873917,-50797.13324274222,-110835.93050669796
-5327.62769790026,-6795.701449597055,-6911.896993147969,-6288.618599011731,-28409.804810262303,-39699.08978928206,-50786.71732982604,-110837.62923927656
-5322.8220728423685,-6807.536698286141,-6911.762882681237,-6298.229849127513,-28411.615301563183,-39696.1170072695,-50778.581294844305,-110838.83623347715
-5323.917308320679,-6826.982715962257,-6910.84646115857,-6311.707951034064,-28413.38108937515,-39689.52324265519,-50766.220780160525,-110838.29979161022
-5332.634488658248,-6840.594928335539,-6910.064150102634,-6318.592288326298,-28413.33638588624,-39681.47661465128,-50756.45306783356,-110836.22107937589
-5337.127189293765,-6861.493809401252,-6908.633638457494,-6331.578651854832,-28414.25280740891,-39670.85953603501,-50741.544454281866,-110833.5612217857
-5345.777314397969,-6878.4476075706025,-6910.51118499174,-6338.5970996137985,-28415.549208587316,-39660.980064985764,-50733.11784662221,-110831.2589921068
-5362.786991928458,-6902.721602049065,-6910.7347024362925,-6353.081030020837,-28417.158534188096,-39648.0607566906,-50717.56103248132,-110827.63800950504
-5378.634378747271,-6924.738070337543,-6915.517975749729,-6361.708803380586,-28420.15366794511,-39636.66136701839,-50710.006142855425,-110825.5592972707
-5393.364178343318,-6957.136923925511,-6922.447016530874,-6383.233533291046,-28428.222647693474,-39627.22893085825,-50698.91967760559,-110826.74393972683
-5415.671219309714,-6980.226275947843,-6923.65401073146,-6387.636826948742,-28426.792136048334,-39608.43111377134,-50686.06742454379,-110818.94318091193
-5448.595338892382,-7009.596468162116,-6923.251679331265,-6402.478385267065,-28427.14976395962,-39589.45448272878,-50665.615578367186,-110811.83532617515
-5465.426202467228,-7039.670740326732,-6930.426589301418,-6413.74366447254,-28431.24013319494,-39573.36122672096,-50655.624348595666,-110808.81784067367
-5483.195839309196,-7078.585127423421,-6935.142807381489,-6435.1566356607245,-28435.978703019468,-39555.97156953473,-50636.69242104202,-110805.68859644994
-5495.578705737437,-7113.330914179196,-6936.70742949336,-6444.052629953937,-28434.034101251855,-39529.99884247766,-50616.195871376505,-110796.16675331198
-5505.122900619853,-7158.995528101388,-6944.105856908066,-6470.092412244369,-28440.761976332902,-39509.412885834325,-50595.3416937997,-110793.88687537753
-5501.524269762549,-7208.258772880885,-6953.560644812661,-6487.437365941688,-28445.545249646337,-39483.261344821614,-50577.81792614674,-110788.18718054143
-5492.18124058023,-7255.689174615047,-6956.891054736502,-6508.246840029578,-28446.886354313658,-39454.271132263086,-50550.10176302216,-110778.93355833692
-5490.080176601431,-7310.193903469313,-6965.4964763517955,-6530.442122273698,-28451.78138634937,-39428.92425405076,-50528.018239500314,-110774.86554084606
-5493.589400480914,-7363.26812067844,-6972.671386321948,-6556.861884219871,-28456.54230791835,-39401.99040198212,-50501.17379440949,-110769.47877043234
-5474.188086293708,-7419.080426583341,-6982.081470737633,-6574.139782683824,-28460.45386319803,-39372.37434057884,-50480.31961683269,-110760.2922034612
-5461.738164632102,-7456.609005523802,-6986.752985328792,-6589.674245080262,-28462.219651009997,-39348.8379536674,-50458.191389821935,-110751.03858125671
-5453.624481394825,-7488.6167035838025,-6992.609142376083,-6602.8617743088935,-28466.131206289676,-39337.52797097302,-50444.13214255955,-110746.97056376583
-5435.676030597214,-7496.942728393404,-6988.42936616294,-6613.344742458433,-28465.8182818673,-39342.44535475318,-50429.08941854113,-110747.6411160995
-5421.281507167996,-7493.232338813823,-6976.493534623806,-6627.0463618095355,-28465.281840000374,-39373.13429989032,-50416.393627690515,-110761.27568021724
-5411.558498329938,-7461.19111313714,-6953.448886090385,-6639.965670104703,-28461.39263646515,-39428.745440095125,-50404.90483104048,-110787.06959331867
-5399.645018535259,-7438.191168092629,-6939.680211505915,-6654.673117956295,-28463.516052188406,-39473.203059816726,-50401.61912460555,-110810.94125639692
-5390.659617264226,-7421.259721667733,-6933.175853869421,-6656.349498790443,-28464.812453366812,-39495.28658333857,-50405.01658976276,-110821.22305884637
-5385.250495106041,-7398.617404534508,-6916.724969950315,-6666.161914606323,-28464.7677498779,-39540.43710713829,-50402.60260136159,-110842.27840212327
-5386.725710240092,-7352.3828211287055,-6893.4791557167955,-6672.487458287175,-28462.577278921282,-39607.20176782629,-50404.79307231821,-110874.12963797209
-5387.552724784938,-7301.890230404167,-6863.147838490944,-6686.502002060653,-28460.275049242384,-39686.68457110936,-50402.759063572776,-110913.02167332431
-5392.9618469431225,-7234.052685982309,-6826.2674601396875,-6690.346502106965,-28452.9660288055,-39775.08572043011,-50404.83777580712,-110955.04295290029
-5409.613896562326,-7166.427483132778,-6787.4648317652745,-6705.791557525583,-28449.54621190384,-39873.23223033336,-50405.10599674058,-111004.3956046576
-5429.618707849826,-7091.940294735467,-6749.645680146895,-6708.965505238236,-28443.466537411994,-39966.550763434265,-50412.92910729994,-111051.02134359138
-5453.825647094924,-7029.1318928160545,-6713.61466808494,-6718.867328031937,-28439.44322341004,-40048.02287197386,-50416.237165479324,-111092.46147781152
-5480.491278230104,-6970.302101409687,-6686.032615427091,-6716.0286564861135,-28435.598723363728,-40113.93816637256,-50429.46939819687,-111125.92203926112
-5506.03932214252,-6926.794430827431,-6663.1444291048565,-6723.449435645275,-28436.515144886394,-40170.89041124468,-50438.99124133483,-111156.34276346478
-5528.413418342283,-6881.97918319454,-6640.1891875492565,-6711.871232017426,-28429.943732016534,-40208.06136227386,-50449.34009901764,-111172.54777819489
-5548.932319752254,-6842.662464697655,-6617.569222160486,-6711.513604106141,-28426.322749414772,-40245.9475691256,-50453.38576476405,-111189.82567665883
-5580.314168967506,-6804.083353767795,-6600.671303352274,-6702.908182490848,-28423.372319146674,-40279.22931661956,-50464.963968391894,-111205.02486288844
-5611.114872826919,-6773.696157180805,-6587.483774123642,-6704.89748774737,-28425.00399649191,-40310.61116583481,-50473.636445240554,-111221.02871191845
-5626.9399079012765,-6750.4279912028305,-6579.34773914191,-6693.520449819619,-28423.57348484677,-40322.27877644048,-50485.8181459687,-111225.0073224315
-5640.015678407631,-6722.678300461566,-6564.863808734872,-6695.554458565052,-28424.311092413795,-40356.81222162393,-50491.85311697163,-111240.96646797258
-5649.045783167575,-6681.897542702859,-6543.875520691338,-6695.397996353865,-28422.43354587955,-40408.66826876024,-50499.229192641884,-111266.11218048481
